id,categorie,programme,ancienne_url,type_url,nouvelle_url_proposee,statut_contenu,a_verifier
14,Voyage international,Spécial Andalousie 8 jours aller par vol & retour par bateau à 6900 DHs!,https://www.ajinsafro.ma/voyages-international/special-andalousie-8-jours-aller-par-vol-retour-par-bateau-a-6900-dhs-14,Programme principal,https://ajinsafro.net/voyages-organises/special-andalousie-8-jours-aller-par-vol-retour-par-bateau-a-6900-dhs-14,ok,oui
18,International,Séjour 8 jours ( Vol + Hôtel + Transfert ) à Palma de Mallorca à partir de 9850 DHs !,https://www.ajinsafro.ma/onedeal.php?id=18,Ancienne URL technique,https://ajinsafro.net/voyages-organises/sejour-8-jours-vol-hotel-transfert-a-palma-de-mallorca-a-partir-de-9850-dhs-18,partiel,oui
21,Hébergement,Hôtel El Oumnia Puerto,https://www.ajinsafro.ma/onedeal.php?id=21,Ancienne URL technique,https://ajinsafro.net/hebergement/hotel-el-oumnia-puerto-21,partiel,oui
43,Voyage national,Circuit Ifrane - Michlifen - Azrou - Meknès / Départ de Tanger chaque Samedi,https://ajinsafro.ma/voyage-national/circuit-ifrane-michlifen-azrou-meknes-04-mars-2018-43,Programme principal,https://ajinsafro.net/voyages-maroc/circuit-ifrane-michlifen-azrou-meknes-04-mars-2018-43,ok,non
46,Voyage international,Combiné Malaisie et Vietnam - 14 Jours / 12 Nuits à partir de 20800 DHs!,https://www.ajinsafro.ma/voyages-international/combine-malaisie-et-vietnam-14-jours-12-nuits-a-partir-de-21800-dhs-46,Programme principal,https://ajinsafro.net/voyages-organises/combine-malaisie-et-vietnam-14-jours-12-nuits-a-partir-de-21800-dhs-46,ok,oui
47,International,"L'Italie, Pays des arts et cultures",https://www.ajinsafro.ma/voyages-organisees/litalie-pays-des-arts-et-cultures-47,Ancienne route SEO,https://ajinsafro.net/voyages-organises/litalie-pays-des-arts-et-cultures-47,ok,oui
51,International,"Séjour en Tunisie : 6 Jours / 5 Nuits à Tunis, Carthage à partir de 6900DHs!",https://www.ajinsafro.ma/voyages-international/sejour-en-tunisie-6-jours-5-nuits-a-tunis-carthage-a-partir-de-6900dhs-51,Variante URL,https://ajinsafro.net/voyages-organises/sejour-en-tunisie-6-jours-5-nuits-a-tunis-carthage-a-partir-de-6900dhs-51,ok,oui
51,International,"Séjour en Tunisie : 6 Jours / 5 Nuits à Tunis, Carthage à partir de 6900DHs!",https://www.ajinsafro.ma/voyages-international/tunis-et-hammamet-8-jours-de-soleil-et-de-culture-a-partir-de-9950-dhs-51,Programme principal,https://ajinsafro.net/voyages-organises/sejour-en-tunisie-6-jours-5-nuits-a-tunis-carthage-a-partir-de-6900dhs-51,ok,oui
60,Voyage national,Excursion d'une journée spéciale à Oukaïmeden et Marrakech à seulement 390 DHs!,https://www.ajinsafro.ma/voyage-national/marrakech-oukaimden-ourika-04-mars-2018-60,Programme principal,https://ajinsafro.net/voyages-maroc/marrakech-oukaimden-ourika-04-mars-2018-60,ok,non
64,Voyage national,Excursion d'une journée à Akchour - Chefchaouen départ chaque Samedi soir !,https://www.ajinsafro.ma/voyage-national/circuit-akchour-chefchaouen-16-avril-64,Programme principal,https://ajinsafro.net/voyages-maroc/circuit-akchour-chefchaouen-16-avril-64,ok,non
66,Voyage national,Week-End Asilah - Tanger À Seulement 860 DHs| Plusieurs Départs Disponibles,https://www.ajinsafro.ma/voyage-national/weekend-asilah-tanger-a-seulement-860-dhs-plusieurs-departs-disponibles-66,Programme principal,https://ajinsafro.net/voyages-maroc/weekend-asilah-tanger-a-seulement-860-dhs-plusieurs-departs-disponibles-66,ok,oui
72,National,Circuit 3 Jours / 2 Nuits à Agadir et Marrakech à seulement 1450 DHs!,https://www.ajinsafro.ma/voyage-national/circuit-3-jours-2-nuits-a-agadir-et-marrakech-a-seulement-1450-dhs-72,Programme principal,https://ajinsafro.net/voyages-maroc/circuit-3-jours-2-nuits-a-agadir-et-marrakech-a-seulement-1450-dhs-72,ok,non
75,Voyage national,Célébrez le Festival Gnaoua à Essaouira & Marrakech en 3 jours (2 nuits) du 24 au 27 Juin 2026,https://www.ajinsafro.ma/voyage-national/celebrez-le-festival-gnaoua-a-essaouira-du-20-juin-au-23-juin-2019-75,Programme principal,https://ajinsafro.net/voyages-maroc/celebrez-le-festival-gnaoua-a-essaouira-du-20-juin-au-23-juin-2019-75,ok,oui
77,National,Week-End à Marrakech - Bin El Ouidane - Ouzoud / le 12 - 13 Mai 2018,https://www.ajinsafro.ma/voyage-national/weekend-a-marrakech-bin-el-ouidane-ouzoud-1314-mai-77,Programme principal,https://ajinsafro.net/voyages-maroc/weekend-a-marrakech-bin-el-ouidane-ouzoud-1314-mai-77,ok,non
79,Voyage international,Voyage de 14 Jours / 12 Nuits à Kuala Lumpur & Bali – Séjour Exotique entre Modernité et Paradis à partir de 21900 DHs!,https://www.ajinsafro.ma/voyages-international/voyage-de-14-jours-12-nuits-a-kuala-lumpur-and-bali-sejour-exotique-entre-modernite-et-paradis-a-partir-de-21900-dhs-79,Programme principal,https://ajinsafro.net/voyages-organises/voyage-de-14-jours-12-nuits-a-kuala-lumpur-and-bali-sejour-exotique-entre-modern-79,ok,oui
80,International,Spécial Andalousie : Seville – Cordoue- Grenade –Torremilonos,https://ajinsafro.ma/voyages-organisees/special-andalousie-seville-cordoue-grenade-torremilonos-80,Ancienne route SEO,https://ajinsafro.net/voyages-organises/special-andalousie-seville-cordoue-grenade-torremilonos-80,ok,oui
83,Voyage national,Week-end à Al Hoceima : La perle de la Méditerrané | Plusieurs Départs Disponibles,https://www.ajinsafro.ma/voyage-national/weekend-a-al-hoceima-la-perle-de-la-mediterrane-plusieurs-departs-disponibles-83,Programme principal,https://ajinsafro.net/voyages-maroc/weekend-a-al-hoceima-la-perle-de-la-mediterrane-plusieurs-departs-disponibles-83,ok,oui
87,International,Circuit Italie,https://www.ajinsafro.ma/voyages-organisees/circuit-italie-87,Ancienne route SEO,https://ajinsafro.net/voyages-organises/circuit-italie-87,ok,oui
89,Voyage national,Séjour 4 jours à Dakhla | départ de casablanca à partir de 3980 DHs!,https://www.ajinsafro.ma/team/buy.php?id=89,Ancienne commande,https://ajinsafro.net/voyages-maroc/sejour-4-jours-a-dakhla-depart-de-casablanca-a-partir-de-3980-dhs-89,ok,oui
89,Voyage national,Séjour 4 jours à Dakhla | départ de casablanca à partir de 3980 DHs!,https://www.ajinsafro.ma/voyage-national/sejour-4-jours-a-dakhla-depart-de-casablanca-a-partir-de-3980-dhs-89,Programme principal,https://ajinsafro.net/voyages-maroc/sejour-4-jours-a-dakhla-depart-de-casablanca-a-partir-de-3980-dhs-89,ok,oui
90,International,Combiné Kuala Lumpur & Phuket - 14 Jours / 12 Nuits à partir de 21900 DHs!,https://ajinsafro.ma/voyages-organisees/circuit-thailande-pays-de-sourire-90,Ancienne route SEO,https://ajinsafro.net/voyages-organises/circuit-thailande-pays-de-sourire-90,ok,oui
90,International,Combiné Kuala Lumpur & Phuket - 14 Jours / 12 Nuits à partir de 21900 DHs!,https://www.ajinsafro.ma/voyages-international/combine-kuala-lumpur-and-phuket-14-jours-12-nuits-a-partir-de-21900-dhs-90,Programme principal,https://ajinsafro.net/voyages-organises/circuit-thailande-pays-de-sourire-90,ok,oui
91,Voyage international,Séjours à Antalya et Istanbul pour 8 jours / 7nuits à partir de 15900 DHs!,https://www.ajinsafro.ma/voyages-international/sejours-a-antalya-et-istanbul-pour-8-jours-7nuits-a-partir-de-14450-dhs-91,Programme principal,https://ajinsafro.net/voyages-organises/sejours-a-antalya-et-istanbul-pour-8-jours-7nuits-a-partir-de-14450-dhs-91,ok,oui
92,International,Évasion en Égypte : 11 jours / 10 nuits à partir de 17950 DHs!,https://ajinsafro.ma/voyages-organisees/circuit-egypte-caire-aswan-luxor-hurghada-92,Ancienne route SEO,https://ajinsafro.net/voyages-organises/circuit-egypte-caire-aswan-luxor-hurghada-92,ok,non
93,National,Week-end à Akchour - Chefchaouen - Oued Laou à seulement 950 DHs!,https://www.ajinsafro.ma/onedeal.php?id=93,Ancienne URL technique,https://ajinsafro.net/voyages-maroc/week-end-a-akchour-chefchaouen-oued-laou-a-seulement-950-dhs-93,ok,non
95,International,CIRCUIT ISTANBUL : Du 23 Avril au 01 Mai,https://www.ajinsafro.ma/voyages-organisees/circuit-istanbul-du-23-avril-au-01-mai-95,Ancienne route SEO,https://ajinsafro.net/voyages-organises/circuit-istanbul-du-23-avril-au-01-mai-95,ok,non
96,International,CIRCUIT ANDALOUSIE : 03 AU 09 Août,https://www.ajinsafro.ma/voyages-organisees/circuit-andalousie-03-au-09-aout-96,Ancienne route SEO,https://ajinsafro.net/voyages-organises/circuit-andalousie-03-au-09-aout-96,ok,non
97,Voyage national,Circuit 4 jours à Ouedlaou - Chefchaouen - Fnideq - M'diq - Tétouan - Tanger - Assilah à seulement 1970 DHs!,https://www.ajinsafro.ma/voyage-national/circuit-4-jours-a-ouedlaou-chefchaouen-fnideq-mdiq-tetouan-tanger-assilah-a-seulement-1870-dhs-97,Programme principal,https://ajinsafro.net/voyages-maroc/circuit-4-jours-a-ouedlaou-chefchaouen-fnideq-mdiq-tetouan-tanger-assilah-a-seul-97,ok,oui
101,Voyage national (ancienne route international),Circuit 4 Jours / 3 Nuits à Agadir - Essaouira et Marrakech à seulement 2500 DHs!,https://www.ajinsafro.ma/voyages-international/circuit-4-jours-3-nuits-a-agadir-essaouira-et-marrakech-a-seulement-2200-dhs-101,Programme principal,https://ajinsafro.net/voyages-maroc/circuit-4-jours-3-nuits-a-agadir-essaouira-et-marrakech-a-seulement-2200-dhs-101,ok,oui
104,Voyage national,Circuit 3 jours au Nord : Akchour - Chefchaouen - M'diq - Tétouan - Tanger à seulement 1680 DHs!,https://www.ajinsafro.ma/team/buy.php?id=104,Ancienne commande,https://ajinsafro.net/voyages-maroc/circuit-3-jours-au-nord-akchour-chefchaouen-finideq-mdiq-tetouan-tanger-a-seulem-104,ok,oui
104,Voyage national,Circuit 3 jours au Nord : Akchour - Chefchaouen - M'diq - Tétouan - Tanger à seulement 1680 DHs!,https://www.ajinsafro.ma/voyage-national/circuit-3-jours-au-nord-akchour-chefchaouen-finideq-mdiq-tetouan-tanger-a-seulement-1190-dh-104,Programme principal,https://ajinsafro.net/voyages-maroc/circuit-3-jours-au-nord-akchour-chefchaouen-finideq-mdiq-tetouan-tanger-a-seulem-104,ok,oui
107,International,Offre spéciale : El Clásico FC Barcelone Vs Real Madrid Du 04 Au 07 Mai 2018,https://www.ajinsafro.ma/voyages-organisees/offre-speciale-el-clasico-fc-barcelone-vs-real-madrid-2023-novembre-107,Ancienne route SEO,https://ajinsafro.net/voyages-organises/offre-speciale-el-clasico-fc-barcelone-vs-real-madrid-2023-novembre-107,ok,oui
108,Voyage national,Circuit 3 jours : Agadir - Marrakech - Terre d'Amanar Du 09 au 12 Août,https://www.ajinsafro.ma/voyage-national/circuit-3-jours-agadir-marrakech-terre-damanar-du-070809-avril-108,Programme principal,https://ajinsafro.net/voyages-maroc/circuit-3-jours-agadir-marrakech-terre-damanar-du-070809-avril-108,ok,non
114,Voyage international,Séjour 10 jours / 9 nuits à Dubaï et Istanbul à partir de 15700 Dhs !,https://www.ajinsafro.ma/voyages-international/sejour-10-jours-9-nuits-a-dubai-et-istanbul-a-partir-de-15700-dhs--114,Programme principal,https://ajinsafro.net/voyages-organises/sejour-10-jours-9-nuits-a-dubai-et-istanbul-a-partir-de-15700-dhs-114,ok,oui
116,International,"Croisière 8 jours / 7 nuits à l'Espagne, Italie. Oasis of the Seas à partir de 16900 DHs",https://www.ajinsafro.ma/voyages-international/croisiere-8-jours-7-nuits-a-lespagne-italie-oasis-of-the-seas-a-partir-de-16900-dhs-116,Programme principal,https://ajinsafro.net/voyages-organises/croisiere-8-jours-7-nuits-a-lespagne-italie-oasis-of-the-seas-a-partir-de-16900-116,ok,oui
119,Omra,Omra Septembre 2026 de 13 Jours à partir de 21900 DHs par personne!,https://www.ajinsafro.ma/voyages-international/omra-septembre-2026-de-13-jours-a-partir-de-21900-dhs-par-personne-119,Programme principal,https://ajinsafro.net/hajj-omra/omra-septembre-2026-de-13-jours-a-partir-de-21900-dhs-par-personne-119,ok,oui
120,International,Séjour 8 jours / 7 nuits à Istanbul avec hôtel 5* à partir de 11900 DHs!,https://www.ajinsafro.ma/voyages-organisees/circuit-istanbul-06-nuits-07-jours-a-partir-de-7550-dh-2407-au-3007-120,Ancienne route SEO,https://ajinsafro.net/voyages-organises/circuit-istanbul-06-nuits-07-jours-a-partir-de-7550-dh-2407-au-3007-120,ok,oui
123,Voyage international,Combiné 4 en 1 ( Kuala Lumpur / Bali / Abu Dhabi / Dubai ) - 16 Jours / 14 Nuits à partir de 32000 DHs!,https://www.ajinsafro.ma/voyages-international/combine-4-en-1-kuala-lumpur-bali-abu-dhabi-dubai-16-jours-14-nuits-a-partir-de-32000-dhs-123,Programme principal,https://ajinsafro.net/voyages-organises/combine-4-en-1-kuala-lumpur-bali-abu-dhabi-dubai-16-jours-14-nuits-a-partir-de-3-123,ok,oui
124,À confirmer,Omra + Istanbul À Partir De 11900 DH : Du 18 Févr Au 03 Mars 2019,https://ajinsafro.ma/team/buy.php?id=124,Ancienne URL de commande,https://ajinsafro.net/a-confirmer/omra-istanbul-a-partir-de-11900-dh-du-18-fevr-au-03-mars-2019-124,partiel,oui
